"Género
(0 Mujer – 1 Hombre)";"Avance Académico
(0 Estándar – 1 Profundización)";Estatura (cm);Peso (Kg);"Longitud
Pie (cm)";"Longitud
Brazo (cm)";"Anchura
Espalda (cm)";"Diámetro
Cráneo (cm)";"Longitud
Rodilla – Tobillo (cm)"
0;0;159,00;49,00;36,00;68,00;42,00;57,00;40,00
1;1;164,00;62,00;39,00;73,00;44,00;55,00;44,00
0;1;172,00;65,00;38,00;75,00;48,00;58,00;44,00
0;1;167,00;52,00;37,00;73,00;41,50;58,00;44,00
0;1;164,00;51,00;36,00;71,00;44,50;54,00;40,00
0;1;161,00;67,00;38,00;71,00;44,00;56,00;42,00
0;0;168,00;48,00;39,00;72,50;41,00;54,50;43,00
1;0;181,00;74,00;43,00;74,00;50,00;60,00;47,00
1;1;183,00;74,00;41,00;79,00;47,50;59,50;47,00
0;1;158,00;50,00;36,00;68,50;44,00;57,00;41,00
0;1;156,00;65,00;36,00;68,00;46,00;58,00;41,00
1;0;173,00;64,00;40,00;79,00;48,00;56,50;47,00
0;0;158,00;43,00;36,00;68,00;43,00;55,00;39,00
1;0;178,00;74,00;42,00;75,00;50,00;59,00;45,00
1;1;181,00;76,00;43,00;83,00;51,00;57,00;43,00
1;0;182,00;91,00;41,00;83,00;53,00;59,00;43,00
1;1;176,00;73,00;42,00;78,00;48,00;58,00;45,00
0;1;162,00;68,00;39,00;72,00;44,00;59,00;42,00
0;0;156,00;52,00;36,00;67,00;36,00;56,00;41,00
0;0;152,00;45,00;34,00;66,00;40,00;55,00;38,00
1;1;181,00;80,00;43,00;76,00;49,00;57,00;46,00
1;1;173,00;69,00;41,00;74,00;48,00;56,00;44,00
0;1;155,00;53,00;36,00;67,00;43,00;56,00;38,00
1;1;189,00;87,00;45,00;82,00;53,00;61,00;52,00
0;0;170,00;70,00;38,00;73,00;45,00;56,00;43,00
1;1;170,00;67,00;40,00;77,00;46,50;58,00;44,50
0;1;168,00;56,00;37,50;70,50;48,00;60,00;40,00
