salary,city,cc
$5432.91,Sabon Gari-Nangere,611
$6581.31,San Rafael Abajo,561
$14405.46,Khvānsār,13
$27742.78,Cemara,1191
$88920.27,Diên Khánh,943
$68442.92,Cabanas de Viriato,1021
$25562.39,Shiroi,417
$21788.73,Qorovulbozor Shahri,1187
$27804.68,Xin’an,791
$75550.59,Arneiro,709
$3879.33,Vincennes,1035
$37220.45,Spytkowice,1260
$83499.87,Dembī Dolo,612
$60232.31,Santa Teresita,866
$37840.59,Juàzeirinho,620
$10960.92,Kisii,418
$22713.72,Neskaupstaður,505
$23346.16,Kthella e Epërme,1235
$59098.66,Kingston,974
$48409.95,Kåge,1049
$12047.70,Ilama,665
$37170.99,Isak,1412
$96764.38,Zhuge,421
$26857.39,Taquara,623
$78525.94,Shakhun’ya,1448
$66326.93,Padangulaktanding,1479
$47655.03,Alor Setar,25
$3825.56,Czarna Woda,1418
$74046.67,Independencia,345
$39550.32,Além,745
$52736.01,Bitanjuan,592
$32016.98,Jinshandian,563
$33646.61,Dingbu,21
$75122.35,Santo Niño,947
$90758.66,Xiamao,1432
$31299.86,Messina,930
$26022.31,Sabanalarga,1443
$86257.88,Donghai,1218
$74298.04,Vrede,470
$21680.76,Gīdolē,997
$95534.43,Arapuey,879
$90333.28,Hövsan,962
$37783.96,Damu,1026
$49213.93,Shencun,218
$12287.62,Jiupu,1153
$75752.12,Heping,671
$99151.98,Bazi,706
$61298.22,Moutas,896
$78847.21,Mlawat,1493
$43379.90,San Jose,1106
$10460.43,Barayong,149
$21420.09,Tshela,381
$17387.78,Xialaxiu,921
$99323.55,Sinabang,824
$61587.24,Mangusu,1075
$31008.31,Andradina,1111
$32409.00,Ar Rawḑ,624
$71657.44,Mieścisko,54
$80657.37,Gangsha,1328
$2135.69,Alès,1422
$67882.49,Teutônia,340
$58610.98,Karak,933
$21074.09,Amboasary,683
$74963.37,Moulay Yacoub,266
$99057.86,Laiponda,435
$19245.42,Jianchang,427
$4564.44,Aizi,1400
$47692.25,Dacudao,1167
$27473.96,Pandak,1223
$96317.09,Magog,266
$92142.16,Parengan,1485
$48023.18,Gengqing,117
$37375.28,Granada,763
$97632.93,Gavinhos de Baixo,673
$37169.62,Greenland,47
$24100.63,Mejdan - Obilićevo,1267
$39283.77,Capilla del Monte,1340
$90960.61,Tanxi,19
$84957.69,Venilale,710
$51021.83,San Miguel,567
$41179.00,Phichai,7
$41256.51,Zamora,541
$70895.19,Loučovice,96
$95125.53,Krinichnaya,364
$72640.21,Emiliano Zapata,1386
$82853.84,Huotian,697
$53364.75,Wangren,1063
$40434.35,Yanjiatai,686
$17960.98,Bologoye,510
$27317.56,Hanover,568
$7544.28,Zaolin,603
$86422.39,Des Moines,163
$57847.13,Bintulu,934
$266.64,Rengo,1438
$53585.21,Mhlambanyatsi,808
$52876.09,Amboasary,659
$5184.79,Dijon,793
$40032.69,Al Judayrah,555
$57715.54,Segbwema,1054
$66195.79,Būrewāla,996
$33469.68,Quixadá,1076
$55767.23,Padangguci,1390
$74317.77,Haarlem,36
$55966.44,Yajiang,741
$12426.86,Guatire,346
$61205.20,Piru,640
$84630.49,Inayauan,1477
$50436.19,Port-de-Paix,1170
$51577.40,Yantian,541
$27674.01,Seputih,236
$12175.26,Phumĭ Véal Srê,832
$81932.78,Enhe Hada,1190
$37722.44,Benoni,121
$12143.31,Laranganglintong,182
$40356.71,Villa Hayes,113
$47162.30,Aasiaat,1428
$30315.37,Barra,987
$3533.84,Cihaladan,1290
$69387.85,Makoko,1115
$2620.70,Rucheng Chengguanzhen,446
$28896.59,Bantarmangu,702
$26884.72,Balkh,749
$82946.52,Noemuti,27
$17539.81,Sempu,922
$65215.58,Lyasny,363
$89867.65,Huangjinbu,172
$87635.04,Sungsang,516
$41838.51,Santa Ana Huista,744
$14494.08,Khasavyurt,142
$94612.75,Marseille,1458
$90937.05,Thatta,747
$69498.37,Hongwei,1175
$11464.50,Höganäs,259
$5895.96,El Limón,768
$28854.38,Chichibu,1013
$78318.34,Åtvidaberg,1044
$42495.47,Athmuqam,300
$78405.18,Moutsamoudou,729
$33919.94,Lidingö,775
$16410.56,Caen,200
$35828.30,Heshan,1266
$2925.56,Lukou,348
$32234.00,Honolulu,1117
$37930.33,Fort Wayne,1045
$57536.03,Taizhou,1347
$23498.50,Волочаевское,515
$9125.37,Estância,508
$98380.37,Bujanovac,1
$66457.22,Zhongzhou,992
$75532.19,Balsas,929
$87862.33,Japerejo,157
$31144.10,Oni,1466
$95338.61,Singkup,1339
$14956.15,Tongqing,1450
$29299.55,Wang Thonglang,850
$58710.31,Tarata,765
$11851.67,Jintan,276
$53593.16,Hässleholm,1244
$46038.83,Vichuga,843
$29594.42,Angers,556
$95122.27,Diawara,114
$40472.07,Puyo,1463
$3176.76,Foúrnoi,1487
$79051.49,Woodford Hill,396
$60518.02,Göteborg,996
$98168.55,Bitaogan,524
$51314.00,Qiujima,1047
$14578.82,Berezivka,101
$87273.88,Huangqiao,1453
$58379.12,Hoopstad,263
$15163.48,Murcia,1467
$74908.66,Sandnes,811
$48586.05,Entradas,1120
$42918.48,Bancal,509
$85357.50,Asunción,681
$26463.94,Tondano,193
$33612.34,Ning’an,1096
$74762.09,Teminabuan,1424
$45639.94,San Juan,424
$1634.88,Malasila,707
$23171.63,Jagodina,47
$28404.51,Jiantou,1494
$75516.01,Langkap,90
$89979.39,Moriguchi,1464
$9543.17,Ermidas do Sado,1396
$41159.53,Gaoling,491
$47801.01,Mashava,680
$60688.15,Nchelenge,894
$52014.37,Borgholm,158
$32665.30,Xidoupu,2
$76691.04,Sheffield,842
$31640.24,Liantan,104
$2551.39,Magisterial,276
$32120.57,Lido,735
$94669.02,Maomiaoji,1462
$17627.42,Belén de Escobar,1137
$46016.33,Nueva Requena,555
$37447.92,Maramag,300
$21908.41,Lujing Zhen,28
$2030.44,Lesnoye,1388
$46163.80,Pakis,1188
$92467.67,Olímpia,843
$5321.53,Babakantonggoh,836
$70270.84,Seputih,1281
$80487.29,Fenggang,1325
$19442.77,Koz’modem’yansk,529
$81107.32,Ninh Hòa,719
$98437.23,Uspenskoye,228
$59999.98,Ribnica na Pohorju,636
$14212.28,Kobylanka,438
$4539.50,Mỏ Cày,451
$96440.50,Sopla,260
$54052.89,Utrecht (stad),252
$50011.69,Hongguang,61
$41349.26,Skopje,625
$44751.52,Hufang,317
$72933.15,Sremčica,598
$72871.96,Ljungby,327
$65285.73,Sotomayor,1038
$16291.41,Sanhe,1030
$98431.58,Tuy Phước,1123
$25642.51,Ngembo,514
$82883.44,Santo Tomas,320
$34793.63,Malax,1307
$10882.23,Fengchuan,684
$44481.54,Monsanto,685
$7170.04,Coronel,1105
$26028.46,Ptghunk’,925
$79585.39,Valenciennes,679
$35371.35,Gongchenqiao,1428
$70709.84,Hongguang,1344
$41300.08,Haolin,36
$77271.43,Santa Catarina,9
$6673.03,Tiassalé,768
$27726.34,Colonias Unidas,1259
$91854.39,Shalazhi,1124
$71034.26,Surgut,924
$32784.77,Rulong,557
$86619.10,Nador,1009
$65788.89,Gadingrejo,707
$63554.50,Neiafu,1389
$69632.01,Viļāni,1061
$11989.85,Oyo,1068
$77445.69,Almalaguês,200
$63970.40,Židlochovice,405
$80190.26,Citasuk,363
$96738.74,Itabaiana,817
$70909.71,Kamenjane,452
$74187.38,Buliran,152
$60339.24,Nizhniy Lomov,59
$53026.93,Iwierzyce,553
$55641.33,Molteno,1160
$84019.75,Salaberry-de-Valleyfield,101
$70241.06,Odoyev,667
$1316.34,Kampungraja,61
$30672.20,Novospasskoye,46
$42231.93,Serravalle,1132
$70443.03,Potštát,1053
$62612.72,Buga,738
$15623.83,Dabbūrīya,1442
$85719.34,Szamotuły,948
$77691.44,Maji,636
$51908.58,Dalumangcob,508
$81590.59,Dongmazar,1115
$16253.93,Lubei,77
$99673.65,Banxi,559
$23145.32,Bauan,1480
$77732.06,Shiroi,1288
$57753.46,Kochani,788
$94040.28,Limoges,1000
$79403.80,San Jose,816
$27324.67,Berezayka,418
$32286.66,Garcia Hernandez,510
$350.69,Kansas City,941
$227.07,Şabbūrah,1474
$3964.56,Mishixiang,754
$72204.24,Pará de Minas,491
$72023.07,Tongxing,1441
$59721.45,Kertosari,548
$95139.46,Andros Town,623
$21490.65,Obrera,323
$6222.95,Arbuzynka,1360
$58881.91,Esperanza,789
$93553.82,Hvozdná,646
$43965.53,Hodošan,1243
$65931.24,Tatariv,867
$44726.79,Sanqishi,862
$61700.07,Youngstown,1259
$54168.67,Créteil,811
$19224.48,Vlasenica,554
$39117.73,Catalina,1294
$20363.36,Tambakrejo,441
$32931.45,Hanban,107
$49308.01,Łęki Szlacheckie,1322
$39914.71,Cam Ranh,32
$41626.32,Staryy Urukh,580
$69918.25,Bankeryd,12
$69796.47,Maleevsk,1140
$22589.52,Diaofeng,40
$2875.12,Duwakkandung,1207
$31981.70,Xiwei,917
$80074.85,Aoqian,168
$94168.76,Chunyang,164
$11174.75,Parada de Pinhão,1076
$56520.13,Jiangtou,1406
$61149.67,Jungutbatu Kaja Dua,70
$30048.26,Nūsay,286
$25400.33,Ćićevac,663
$21913.38,Kalasin,291
$73380.00,Telsen,983
$31264.83,Tarbes,1085
$88162.76,Margabakti,756
$1959.34,Bi’r al ‘Abd,1425
$69059.75,Wukeshu,353
$55722.60,Yalkhoy-Mokhk,592
$76618.67,Abū Zabad,1329
$78830.86,Nkwerre,345
$9938.86,Tisul’,252
$66950.40,Langchuan,175
$60539.13,Baugo,1090
$74029.20,Sinacaban,99
$92491.42,Yangjiaping,673
$21074.91,Murun-kuren,760
$57602.61,Guazapa,249
$28577.57,Huangshi,337
$8526.05,Choloma,1437
$71586.33,Matangshan,708
$73496.44,Örebro,464
$57411.92,Riachos,1389
$73441.73,Kouvola,492
$13034.60,Skien,667
$86346.26,Haitou,1131
$96605.09,Cimanggu,1036
$10973.90,Vyborg,92
$33133.49,Tongzha,640
$49743.22,Azacualpa,761
$52367.99,Tongshan,1474
$39107.05,Vilkaviskis,534
$59996.81,Malalag,984
$96585.41,Longgang,663
$49699.86,Sbo’o,792
$41425.05,Gowurdak,522
$53116.48,Xijiang,862
$58082.00,Buenos Aires,4
$21498.01,Áno Liósia,690
$67644.94,Pimenta Bueno,780
$6963.76,Pedreira,1153
$70762.52,Louisville,302
$13436.54,Corticeiro de Baixo,1247
$10575.76,Nal’chik,855
$68479.32,Balayang,840
$58155.35,Fornos,76
$41687.23,Kandahār,1399
$12926.65,Jiangcun,328
$32381.77,Zbytków,1267
$81591.50,Igcocolo,338
$84844.52,Wuguishan,1422
$17318.68,Genisséa,264
$32071.02,Phú Khương,1379
$84121.62,Kayakent,279
$63932.37,Venlo,11
$25883.04,Pamoyanan,69
$30881.53,Macau,1219
$97849.98,Alangilanan,525
$23140.04,Dzhubga,878
$9969.22,Punta de Piedra,380
$68699.10,Tayu,571
$6008.45,Iwamizawa,757
$50573.65,Fengxizhai,290
$96122.85,La Eduvigis,152
$13935.31,Chicago,1113
$94865.74,Síkinos,785
$17068.40,Independencia,659
$8152.86,Lushikeng,1379
$86183.21,Kutao,1020
$26624.84,Örebro,1013
$57391.28,Travesía,1151
$30912.38,Klakeh,149
$91431.98,Fengpo,705
$52620.33,Tegarenkrajan,948
$20932.63,Semikarakorsk,179
$19935.02,Gustavia,1127
$56184.84,Fuan,392
$74398.20,Aş Şaff,1427
$45836.09,Porto Ferreira,810
$4157.60,Sanxi,649
$73315.19,Mariinsk,1002
$81870.06,Karangsembung,1367
$66491.19,Albion,662
$90319.07,Xinxing,608
$90817.57,Krokeaí,1400
$97799.86,El Porvenir,469
$81567.70,Huishangang,521
$48991.93,Carayaó,1413
$27922.48,Cihurip Satu,413
$76249.34,La Palma,473
$39336.50,Mossendjo,23
$59157.78,Kiruna,1273
$61439.64,Tengah,644
$71301.57,Karanggintung,1473
$90090.54,Kaga Bandoro,503
$99128.40,Арачиново,554
$17969.38,Tangerang,1461
$73819.09,Qingu,812
$83331.91,Sangiang,1254
$9536.33,Cilated,1136
$84278.03,Baziqiao,912
$30088.55,Kol’chugino,554
$84556.38,Saryözek,584
$37521.66,Ključ,1408
$20081.76,Lubin,254
$18859.31,Maracay,326
$86473.45,Sarandi,988
$98370.37,Cibingbin,249
$90595.19,Lapas,1164
$93521.85,Isojoki,583
$68462.47,Bosaso,583
$98707.34,Kertabumi,782
$6976.36,Zanjān,492
$46717.69,Uherský Ostroh,885
$8186.88,Cardona,699
$79646.98,Nyinqug,1445
