"date","close","volume","open","high","low"
"16:00","192.23","46,541,444","191.72","197.18","191.4501"
"2018/11/13","192.2300","46725710.0000","191.6300","197.1800","191.4501"
"2018/11/12","194.1700","50991030.0000","199.0000","199.8500","193.7900"
"2018/11/09","204.4700","34317760.0000","205.5500","206.0100","202.2500"
"2018/11/08","208.4900","25289270.0000","209.9800","210.1200","206.7500"
"2018/11/07","209.9500","33291640.0000","205.9700","210.0600","204.1300"
"2018/11/06","203.7700","31774720.0000","201.9200","204.7200","201.6900"
"2018/11/05","201.5900","66072170.0000","204.3000","204.3900","198.1700"
"2018/11/02","207.4800","91046560.0000","209.5500","213.6500","205.4300"
"2018/11/01","222.2200","52954070.0000","219.0500","222.3600","216.8100"
"2018/10/31","218.8600","38016810.0000","216.8800","220.4500","216.6200"
"2018/10/30","213.3000","36487930.0000","211.1500","215.1800","209.2700"
"2018/10/29","212.2400","45713690.0000","219.1900","219.6900","206.0900"
"2018/10/26","216.3000","47191700.0000","215.9000","220.1900","212.6700"
"2018/10/25","219.8000","29027340.0000","217.7100","221.3800","216.7500"
"2018/10/24","215.0900","39992120.0000","222.6000","224.2300","214.5400"
"2018/10/23","222.7300","38681170.0000","215.8300","223.2500","214.7000"
"2018/10/22","220.6500","28751540.0000","219.7900","223.3600","218.9400"
"2018/10/19","219.3100","32874330.0000","218.0600","221.2600","217.4300"
"2018/10/18","216.0200","32389280.0000","217.8600","219.7400","213.0000"
"2018/10/17","221.1900","22692880.0000","222.3000","222.6400","219.3400"
"2018/10/16","222.1500","28802550.0000","218.9300","222.9900","216.7627"
"2018/10/15","217.3600","30280450.0000","221.1600","221.8300","217.2700"
"2018/10/12","222.1100","39494770.0000","220.4200","222.8800","216.8400"
"2018/10/11","214.4500","52902320.0000","214.5200","219.5000","212.3200"
"2018/10/10","216.3600","41084070.0000","225.4600","226.3500","216.0500"
"2018/10/09","226.8700","26656630.0000","223.6400","227.2700","222.2462"
"2018/10/08","223.7700","28784550.0000","222.2100","224.8000","220.2000"
"2018/10/05","224.2900","33507770.0000","227.9600","228.4100","220.5800"
"2018/10/04","227.9900","31961120.0000","230.7800","232.3500","226.7300"
"2018/10/03","232.0700","28540490.0000","230.0500","233.4700","229.7800"
"2018/10/02","229.2800","24435010.0000","227.2500","230.0000","226.6300"
"2018/10/01","227.2600","23171020.0000","227.9500","229.4200","226.3500"
"2018/09/28","225.7400","22560440.0000","224.7900","225.8400","224.0200"
"2018/09/27","224.9500","29729270.0000","223.8200","226.4400","223.5400"
"2018/09/26","220.4200","23430370.0000","221.0000","223.7500","219.7600"
"2018/09/25","222.1900","22811140.0000","219.7500","222.8200","219.7000"
"2018/09/24","220.7900","27581270.0000","216.8200","221.2600","216.6300"
"2018/09/21","217.6600","95584080.0000","220.7800","221.3600","217.2900"
"2018/09/20","220.0300","26388050.0000","220.2400","222.2800","219.1500"
"2018/09/19","218.3700","26869880.0000","218.5000","219.6200","215.3000"
"2018/09/18","218.2400","31495630.0000","217.7900","221.8500","217.1200"
"2018/09/17","217.8800","36810120.0000","222.1500","222.9500","217.2700"
"2018/09/14","223.8400","31801970.0000","225.7500","226.8400","222.5220"
"2018/09/13","226.4100","41411350.0000","223.5200","228.3500","222.5700"
"2018/09/12","221.0700","49118510.0000","224.9400","225.0000","219.8400"
"2018/09/11","223.8500","35644510.0000","218.0100","224.2990","216.5600"
"2018/09/10","218.3300","39194720.0000","220.9500","221.8500","216.4700"
"2018/09/07","221.3000","37418910.0000","221.8500","225.3700","220.7100"
"2018/09/06","223.1000","34121240.0000","226.2300","227.3500","221.3000"
"2018/09/05","226.8700","33290830.0000","228.9900","229.6700","225.1000"
"2018/09/04","228.3600","27363960.0000","228.4100","229.1800","226.6300"
"2018/08/31","227.6300","43177540.0000","226.5100","228.8700","226.0000"
"2018/08/30","225.0300","48696960.0000","223.2500","228.2600","222.4000"
"2018/08/29","222.9800","27074260.0000","220.1500","223.4900","219.4100"
"2018/08/28","219.7000","22751390.0000","219.0100","220.5400","218.9200"
"2018/08/27","217.9400","20400770.0000","217.1500","218.7400","216.3300"
"2018/08/24","216.1600","18457720.0000","216.6000","216.9000","215.1100"
"2018/08/23","215.4900","18505780.0000","214.6500","217.0500","214.6000"
"2018/08/22","215.0500","18965930.0000","214.1000","216.3600","213.8400"
"2018/08/21","215.0400","25682700.0000","216.8000","217.1900","214.0250"
"2018/08/20","215.4600","30149410.0000","218.1000","219.1800","215.1100"
"2018/08/17","217.5800","35034410.0000","213.4400","217.9500","213.1600"
"2018/08/16","213.3200","27595310.0000","211.7500","213.8121","211.4700"
"2018/08/15","210.2400","28595230.0000","209.2200","210.7400","208.3300"
"2018/08/14","209.7500","20679270.0000","210.1550","210.5600","208.2600"
"2018/08/13","208.8700","25864510.0000","207.7000","210.9520","207.7000"
"2018/08/10","207.5300","24592460.0000","207.3600","209.1000","206.6700"
"2018/08/09","208.8800","23389530.0000","207.2800","209.7800","207.2000"
"2018/08/08","207.2500","22493750.0000","206.0500","207.8100","204.5200"
"2018/08/07","207.1100","25525650.0000","209.3200","209.5000","206.7600"
"2018/08/06","209.0700","25396100.0000","208.0000","209.2500","207.0700"
"2018/08/03","207.9900","33408050.0000","207.0300","208.7400","205.4803"
"2018/08/02","207.3900","62317430.0000","200.5800","208.3800","200.3500"
"2018/08/01","201.5000","67812280.0000","199.1300","201.7600","197.3100"
"2018/07/31","190.2900","37847260.0000","190.3000","192.1400","189.3400"
"2018/07/30","189.9100","20912890.0000","191.9000","192.2000","189.0700"
"2018/07/27","190.9800","23975350.0000","194.9900","195.1900","190.1000"
"2018/07/26","194.2100","19005150.0000","194.6100","195.9600","193.6100"
"2018/07/25","194.8200","16553500.0000","193.0600","194.8500","192.4300"
"2018/07/24","193.0000","18680930.0000","192.4500","193.6601","192.0500"
"2018/07/23","191.6100","15955820.0000","190.6800","191.9600","189.5600"
"2018/07/20","191.4400","20670830.0000","191.7800","192.4300","190.1700"
"2018/07/19","191.8800","20182050.0000","189.6900","192.5500","189.6900"
"2018/07/18","190.4000","16365720.0000","191.7800","191.8000","189.9300"
"2018/07/17","191.4500","15515000.0000","189.7500","191.8700","189.2000"
"2018/07/16","190.9100","15009800.0000","191.5200","192.6500","190.4150"
"2018/07/13","191.3300","12506830.0000","191.0800","191.8400","190.9000"
"2018/07/12","191.0300","18000180.0000","189.5300","191.4100","189.3100"
"2018/07/11","187.8800","18776390.0000","188.5000","189.7799","187.6100"
"2018/07/10","190.3500","15801370.0000","190.7100","191.2800","190.1801"
"2018/07/09","190.5800","19636390.0000","189.5000","190.6800","189.3000"
"2018/07/06","187.9700","17426160.0000","185.4200","188.4340","185.2000"
"2018/07/05","185.4000","16543880.0000","185.2600","186.4100","184.2800"
"2018/07/03","183.9200","13954810.0000","187.7900","187.9500","183.5400"
"2018/07/02","187.1800","17675210.0000","183.8200","187.3000","183.4200"
"2018/06/29","185.1100","22551660.0000","186.2900","187.1900","182.9100"
"2018/06/28","185.5000","17352380.0000","184.1000","186.2100","183.8000"
"2018/06/27","184.1600","24987260.0000","185.2280","187.2800","184.0300"
"2018/06/26","184.4300","24378480.0000","182.9900","186.5300","182.5400"
"2018/06/25","182.1700","31632320.0000","183.4000","184.9200","180.7300"
"2018/06/22","184.9200","27185130.0000","186.1200","186.1500","184.7000"
"2018/06/21","185.4600","25649240.0000","187.2500","188.3500","184.9400"
"2018/06/20","186.5000","20490090.0000","186.3500","187.2000","185.7300"
"2018/06/19","185.6900","33538550.0000","185.1400","186.3300","183.4500"
"2018/06/18","188.7400","18458410.0000","187.8800","189.2200","187.2000"
"2018/06/15","188.8400","61438290.0000","190.0300","190.1600","188.2600"
"2018/06/14","190.8000","21584720.0000","191.5500","191.5700","190.2200"
"2018/06/13","190.7000","21480120.0000","192.4200","192.8800","190.4400"
"2018/06/12","192.2800","16859020.0000","191.3850","192.6110","191.1500"
"2018/06/11","191.2300","18069930.0000","191.3500","191.9700","190.2100"
"2018/06/08","191.7000","26580710.0000","191.1700","192.0000","189.7700"
"2018/06/07","193.4600","21329170.0000","194.1400","194.2000","192.3350"
"2018/06/06","193.9800","20912820.0000","193.6300","194.0800","191.9200"
"2018/06/05","193.3100","21535570.0000","193.0650","193.9400","192.3600"
"2018/06/04","191.8300","26190620.0000","191.6350","193.4200","191.3500"
"2018/06/01","190.2400","23377690.0000","187.9910","190.2600","187.7500"
"2018/05/31","186.8700","27468700.0000","187.2200","188.2300","186.1400"
"2018/05/30","187.5000","18503410.0000","187.7200","188.0000","186.7800"
"2018/05/29","187.9000","22409110.0000","187.6000","188.7500","186.8700"
