"State","Overall rank","Overall score","Affordability","Well-being","Culture & diversity","Weather","Crime"
"Florida","1","32.04","18","20","1","5","27"
"Georgia","2","30.37","7","35","37","4","29"
"Michigan","3","30.19","1","39","30","36","26"
"Ohio","4","29.79","11","32","34","21","20"
"Missouri","5","29.78","3","36","32","19","42"
"Kentucky","6","29.25","5","47","50","3","11"
"Texas","7","29.07","9","27","48","10","38"
"Tennessee","8","28.85","2","42","33","13","45"
"Pennsylvania","9","28.10","27","18","15","33","12"
"South Dakota","10","28.06","15","33","16","41","22"
"West Virginia","11","28.04","14","48","16","8","16"
"Mississippi","12","27.82","4","50","49","11","22"
"Arizona","13","27.54","24","25","20","1","41"
"Iowa","14","27.28","19","30","27","31","12"
"North Carolina","15","27.17","16","38","29","17","32"
"Illinois","16","26.45","28","13","31","30","25"
"Wisconsin","17","26.42","26","24","22","38","12"
"Indiana","18","26.25","12","41","43","24","22"
"Oklahoma","19","26.13","6","43","46","14","42"
"New York","20","26.08","42","5","5","34","15"
"Virginia","21","26.05","34","12","40","23","9"
"Wyoming","22","25.83","23","29","19","49","7"
"New Hampshire","23","25.79","37","21","7","45","1"
"North Dakota","24","25.63","25","16","39","46","18"
"South Carolina","25","25.49","17","40","25","16","46"
"New Jersey","26","25.30","46","3","21","26","3"
"Nevada","27","25.28","32","17","11","20","40"
"Colorado","28","25.23","30","7","24","44","37"
"Arkansas","29","25.04","8","49","41","8","46"
"Nebraska","30","24.96","28","19","35","37","21"
"Utah","31","24.81","35","10","47","25","18"
"Massachusetts","32","24.78","47","1","13","35","10"
"Idaho","33","24.71","21","34","36","43","6"
"Rhode Island","34","24.70","44","11","9","28","7"
"Minnesota","35","24.64","33","15","23","42","17"
"Alabama","36","24.59","10","46","42","15","44"
"Kansas","37","24.41","20","26","45","27","35"
"Oregon","38","24.33","40","14","6","29","28"
"Louisiana","39","24.30","13","44","44","6","48"
"Delaware","40","23.76","39","22","2","18","36"
"Washington","41","23.49","38","9","28","32","34"
"Hawaii","42","23.31","50","2","8","2","32"
"Connecticut","43","23.10","48","8","14","39","4"
"Maryland","44","22.23","43","4","38","22","29"
"Vermont","45","22.22","45","23","3","40","4"
"Montana","46","21.96","31","31","10","47","29"
"New Mexico","47","21.70","22","45","18","12","50"
"California","48","21.61","49","6","12","7","38"
"Maine","49","19.48","41","37","4","50","2"
"Alaska","50","17.31","36","28","26","48","49"
